project_id,freelancer_id,client_id,category,budget_usd,status,start_date,deadline,duration_days,bids_received,remote,project_complexity
PR000136,FL00438,CL00985,Web Development,787,cancelled,2024-04-08,2024-06-18,3,13,True,medium
PR000137,FL00399,CL00387,Video,1147,cancelled,2022-12-08,2022-12-16,1,43,0,medium
PR000138,FL00069,CL00294,Web Development,680,completed,,2023-03-11,50,10,true,Low
PR000139,FL00141,CL00878,Marketing,728,completed,2021-06-06,TBD,87,25,True,medium
PR000140,FL00060,CL00533,Data Science,247,completed,2021-01-30,2021-05-28,19,13,true,Medium
PR000141,FL00175,CL00112,Marketing,3620,cancelled,2023-01-31,2023-03-02,75,2,1,
PR000142,FL00271,CL00935,SEO,2906,completed,2021-05-01,2021-07-08,171,44,True,medium
PR000143,FL00290,CL00732,AI/ML,2470,completed,2023-03-21,2023-04-20,160,24,1,medium
PR000144,FL00389,CL00803,AI/ML,3837,completed,2022-12-05,TBD,129,36,false,Medium
PR000145,FL00056,CL00441,Data Science,1927,completed,2024-05-17,2024-06-11,31,26,True,high
PR000146,FL00384,CL00679,Design,1968,cancelled,2023-05-27,2023-07-01,73,22,False,Medium
PR000147,FL00290,CL00782,AI/ML,345,cancelled,2024-05-24,2024-06-18,19,,No,low
PR000148,FL00426,CL00769,Data Science,4429,completed,2023-03-16,2023-05-05,70,2,true,low
PR000149,FL00001,CL00399,Web Development,4309,in_progress,2023-05-14,2023-07-10,86,1,False,low
PR000150,FL00314,CL00793,Writing,699,disputed,2021-10-20,2021-11-02,57,,No,low
PR000151,FL00145,CL00422,Video,3778,completed,2024-01-26,2024-03-24,99,10,False,
PR000152,FL00480,CL00238,DevOps,2252,completed,2021-02-03,2021-03-07,120,5,false,Medium
PR000153,FL00041,CL00845,AI/ML,3211,completed,2021-03-24,2021-07-05,20,34,1,
PR000154,FL00493,CL00523,Data Science,2746,completed,2020-10-15,2021-02-09,102,6,No,high
PR000155,FL00342,CL00095,DevOps,1629,completed,2020-01-29,2020-05-21,44,21,No,high
PR000156,FL00225,CL00528,Design,1997,CANCELLED,2021-05-12,,180,40,False,low
PR000157,FL00032,CL00151,Video,4167$,completed,2022-04-09,2022-06-21,90,10,Yes,high
PR000158,FL00188,CL00584,Web Development,4516,in_progress,2020-08-02,2020-11-04,117,2,1,Medium
PR000159,FL00312,CL00039,DevOps,4578,completed,2020-11-20,2020-12-13,178,18,1,medium
PR000160,FL00377,CL00642,AI/ML,640,disputed,2020-06-21,2020-08-03,140,24,true,Low
PR000161,FL00232,CL00997,Writing,738,cancelled,2020-05-10,2020-08-17,40,8,false,low
PR000162,FL00020,CL00641,DevOps,4395,completed,2022-03-27,2022-06-24,159,29,True,high
PR000163,FL00144,CL00537,DevOps,2906,completed,2021-07-03,2021-08-11,35,36,Yes,Medium
PR000164,FL00100,CL00082,DevOps,4790,completed,2021-11-27,2022-01-24,100,36,false,high
PR000165,FL00272,CL00517,AI/ML,3131,COMPLETED,2021-04-02,2021-07-28,144,39,No,high
PR000166,FL00134,CL00916,Design,210756,disputed,2023-06-30,2023-07-22,86,17,False,High
PR000167,FL00158,CL00110,Mobile App,3816,completed,2021-10-31,2022-02-20,110,20,1,Medium
PR000168,FL00330,CL00393,Mobile App,813,completed,2024-05-08,2024-06-29,,23,0,low
PR000169,FL00071,CL00598,Marketing,3607,in_progress,2020-04-29,2020-06-16,87,42,0,high
PR000170,FL00494,CL00132,Marketing,2699,disputed,2023-06-10,TBD,2,2,1,High
PR000171,FL00301,CL00847,Design,2036,completed,2023-08-09,2023-12-06,109,11,1,High
PR000172,FL00267,CL00512,DevOps,3260,cancelled,2023-06-23,2023-09-29,106,0,true,High
PR000173,FL00487,CL00755,Mobile App,1516,disputed,2023-01-17,2023-05-07,16,0,false,low
PR000174,FL00082,CL00483,Design,3894,completed,2020-02-19,2020-05-04,93,17,Yes,Medium
PR000175,FL00483,CL00465,Web Development,839,cancelled,2024-05-07,2024-08-31,166,4,false,Medium
PR000176,FL00368,CL00159,Design,4872,completed,2020-02-29,2020-04-17,169,4,false,medium
PR000177,FL00122,CL00916,Data Science,3079,disputed,2021-05-15,2021-08-31,127,25,True,medium
PR000178,FL00444,CL00915,Writing,4180,cancelled,2024-01-05,2024-04-13,64,38,No,high
PR000179,FL00252,CL00832,Marketing,4673,cancelled,2021-05-12,2021-06-04,10,16,No,medium
PR000180,FL00352,CL00710,SEO,4244,cancelled,2022-06-16,2022-08-06,11,17,false,low
PR000181,FL00418,CL00856,AI/ML,4800,completed,2020-08-12,2020-10-16,43,37,True,Low
PR000182,FL00245,CL00934,,4289,completed,2020-04-26,2020-07-20,13,9,true,Low
PR000183,FL00474,CL00690,SEO,1243,completed,2020-08-23,2020-11-15,88,33,false,Medium
PR000184,FL00383,CL00550,,349831,completed,2022-06-02,2022-07-27,46,,Yes,high
PR000185,FL00473,CL00294,Marketing,4822$,disputed,2021-10-30,2021-11-23,17,,false,high
PR000186,FL00306,CL00993,Marketing,4879,in_progress,2020-02-04,2020-05-20,34,1,False,high
PR000187,FL00014,CL00491,Data Science,540,in_progress,2020-09-09,2020-11-01,,14,1,medium
PR000188,FL00462,CL00228,Mobile App,,,2023-11-02,2024-01-28,145,40,Yes,High
PR000189,FL00190,CL00969,SEO,2951,completed,2021-08-06,2021-10-06,31,32,false,Low
PR000190,FL00378,CL00093,Video,922,IN_PROGRESS,2022-03-27,2022-05-08,,6,True,low
PR000191,FL00261,CL00341,Web Development,932$,completed,2020-04-20,2020-06-25,45,,Yes,Medium
PR000192,FL00441,CL00509,,,in_progress,2023-12-11,2024-02-10,113,27,Yes,Medium
PR000193,,CL00273,Mobile App,1232,disputed,2022-08-30,2022-09-08,151,29,1,
PR000194,FL00336,CL00776,Writing,4555,cancelled,2020-05-19,2020-09-08,,39,True,medium
PR000195,FL00426,CL00664,AI/ML,3335,cancelled,2022-12-19,2023-02-27,98,9,1,Low
PR000196,FL00293,CL00706,Writing,1527,completed,2022-06-13,,68,27,true,Low
PR000197,FL00027,CL00862,DevOps,,completed,2020-08-04,2020-08-22,22,43,No,Medium
PR000198,FL00043,CL00951,SEO,4503$,cancelled,2023-07-05,2023-09-25,42,28,0,medium
PR000199,FL00475,CL00553,Design,3707,cancelled,2022-02-04,2022-04-08,49,5,Yes,Low
PR000200,FL00343,CL00811,Mobile App,4285,in_progress,2023-10-13,2024-02-01,123,3,0,Medium
PR000201,FL00133,CL00922,Mobile App,3569,completed,2021-12-27,2022-02-26,91,29,Yes,Medium
PR000202,FL00024,CL00738,AI/ML,,cancelled,2022-02-09,TBD,144,24,0,medium
PR000203,FL00423,CL00984,Video,4578,completed,2020-01-01,2020-03-12,67,9,No,medium
PR000204,FL00218,CL00850,Web Development,619,completed,2021-09-06,2021-09-22,53,6,No,high
PR000205,FL00001,CL00097,Marketing,2136,completed,2021-06-05,2021-07-23,68,6,True,Medium
PR000206,FL00141,CL00496,Web Development,3511,in_progress,2020-05-09,2020-07-15,11,0,No,medium
PR000207,FL00140,CL00335,Mobile App,3489,cancelled,2020-08-02,2020-11-17,64,37,No,High
PR000208,FL00196,CL00322,AI/ML,839$,completed,2021-11-27,2022-02-17,93,24,True,High
PR000209,FL00243,CL00569,Mobile App,606,completed,2023-05-05,2023-07-19,96,24,True,Low
PR000210,FL00334,CL00049,AI/ML,1213,completed,2022-12-22,2023-03-13,128,20,1,
PR000211,FL00405,CL00914,,3083,in_progress,2024-03-28,2024-05-30,109,23,Yes,low
PR000212,FL00438,CL00648,Data Science,2856,disputed,2021-08-15,2021-08-28,45,11,No,low
PR000213,FL00245,CL00107,SEO,1200,completed,2023-06-09,2023-06-24,133,,True,Low
PR000214,FL00265,CL00178,Video,4151,cancelled,2020-09-18,2020-10-20,105,10,Yes,Low
PR000215,FL00057,CL00491,Data Science,4431,completed,2021-04-13,2021-07-23,163,16,true,High
PR000216,FL00344,CL00817,DevOps,2005,cancelled,2021-10-26,2022-02-22,87,12,False,Low
PR000217,FL00100,CL00755,Data Science,3765,completed,2024-04-25,2024-07-09,53,18,true,low
PR000218,FL00099,CL00671,DevOps,1490,completed,2022-08-30,2022-10-21,,38,false,High
PR000219,FL00258,CL00037,Data Science,1979,completed,2021-04-15,2021-08-12,74,4,0,Medium
PR000220,FL00131,CL00901,Marketing,3602,completed,2022-12-24,TBD,176,42,False,Medium
PR000221,FL00492,CL00582,DevOps,2192,cancelled,2024-02-14,2024-04-10,81,44,No,Low
PR000222,FL00231,CL00613,Data Science,2005,completed,2020-07-02,2020-10-27,116,15,False,Medium
PR000223,FL00331,CL00530,DevOps,3310,completed,2023-03-06,2023-04-08,48,,Yes,low
PR000224,FL00059,CL00942,Web Development,4260,DISPUTED,2023-05-07,2023-08-07,74,15,1,High
PR000225,FL00329,CL00785,Mobile App,488,in_progress,2021-07-19,2021-09-17,,1,Yes,
PR000226,FL00419,CL00021,Writing,4919$,in_progress,2022-06-15,2022-10-06,101,19,False,high
PR000227,FL00483,CL00629,Design,112,in_progress,2023-01-14,2023-03-03,50,35,true,low
PR000228,FL00291,CL00541,AI/ML,1405,in_progress,2023-05-27,2023-07-31,125,4,0,medium
PR000229,FL00186,CL00243,SEO,4764,in_progress,2022-02-11,2022-02-20,148,11,1,Low
PR000230,FL00003,CL00523,AI/ML,1240,completed,2024-05-24,2024-07-29,155,4,true,High
PR000231,FL00365,CL00618,AI/ML,1228,in_progress,2021-06-29,2021-07-28,94,8,0,high
PR000232,FL00249,CL00130,Web Development,4243,,2020-01-06,2020-04-30,88,3,false,Medium
PR000233,FL00443,CL00739,SEO,4221,completed,2023-02-20,2023-05-16,68,15,Yes,Low
PR000234,FL00479,CL00360,DevOps,3156,completed,2022-09-13,TBD,46,6,False,High
PR000235,FL00042,CL00205,Web Development,1962,in_progress,,2020-08-09,168,32,1,medium
PR000236,FL00358,CL00569,Writing,1253,cancelled,2022-12-04,2023-02-08,23,32,No,Medium
PR000237,FL00416,CL00361,DevOps,679,completed,2021-06-12,2021-07-31,93,33,false,High
PR000238,,CL00440,Video,3422,completed,2023-01-22,2023-03-25,78,20,Yes,high
PR000239,FL00153,CL00836,Video,4525,completed,2021-11-08,2021-12-27,53,0,0,High
PR000240,FL00253,CL00474,Writing,933,,2020-07-23,2020-08-09,175,43,true,
PR000241,FL00368,CL00699,AI/ML,2015$,completed,2021-07-02,2021-10-06,,26,True,Low
PR000242,FL00173,CL00266,Design,1599,completed,2023-09-02,2023-12-05,49,29,True,High
PR000243,FL00303,CL00010,Marketing,1989,disputed,2024-03-18,2024-07-09,,22,True,Medium
PR000244,FL00260,CL00629,AI/ML,2428,completed,2020-05-27,2020-08-11,63,43,true,Low
PR000245,FL00037,CL00408,Web Development,4088,cancelled,2023-03-28,2023-04-05,179,30,true,high
PR000246,FL00112,CL00384,Design,2467$,completed,2023-04-04,,42,0,false,low
PR000247,FL00067,CL00063,Video,966,in_progress,2023-01-05,2023-02-13,4,2,Yes,
PR000248,FL00126,CL00015,Web Development,4531,cancelled,2022-04-27,2022-07-08,174,29,No,High
PR000249,FL00441,CL00172,Data Science,4961,disputed,2023-04-30,TBD,178,23,true,Low
PR000250,FL00238,CL00353,Web Development,1132,COMPLETED,2022-06-30,2022-07-21,156,10,False,medium
PR000251,FL00251,CL00516,Web Development,4732,completed,2022-06-07,2022-06-27,121,44,True,high
PR000252,FL00396,CL00879,Marketing,4021,cancelled,2024-04-16,2024-08-04,71,19,False,medium
PR000253,FL00370,CL00550,SEO,542,completed,2023-02-02,2023-03-08,72,8,False,Low
PR000254,FL00489,CL00643,Marketing,1707,disputed,2020-01-21,2020-04-23,34,31,true,high
PR000255,FL00125,CL00908,Marketing,439,completed,2022-10-27,2022-11-14,113,22,False,medium
PR000256,FL00068,CL00833,Mobile App,1426,cancelled,2020-07-02,2020-08-31,136,1,1,Low
PR000257,FL00201,CL00514,Data Science,764,completed,2020-08-30,2020-10-29,11,44,true,Low
PR000258,FL00412,CL00803,Video,595,completed,2023-04-05,2023-05-18,58,,Yes,Medium
PR000259,FL00067,CL00262,Data Science,3654,completed,2020-06-30,2020-08-13,39,32,True,medium
PR000260,FL00486,CL00246,AI/ML,903,disputed,2023-06-29,2023-08-27,62,18,true,High
PR000261,,CL00707,DevOps,2111,completed,2021-02-18,2021-06-09,95,24,1,low
PR000262,FL00233,CL00205,Video,2297,disputed,2024-04-30,2024-07-27,129,4,1,Medium
PR000263,FL00176,CL00859,Writing,4486,disputed,2020-01-17,2020-04-06,96,25,No,Medium
PR000264,FL00473,CL00603,Design,194799,completed,2021-05-05,2021-06-28,150,10,False,High
PR000265,FL00454,CL00789,Writing,557,,2023-03-06,2023-05-04,136,10,False,Low
PR000266,FL00282,CL00836,SEO,4662,completed,2021-10-13,2021-11-09,167,31,No,Medium
PR000267,FL00084,CL00927,Web Development,3466,completed,2024-02-28,2024-06-19,16,2,0,Medium
PR000268,FL00478,CL00047,,3110,completed,2023-08-22,2023-11-03,50,1,false,medium
PR000269,FL00064,CL00169,Design,4434,disputed,2023-11-22,2023-12-10,7,11,No,Medium
PR000270,FL00369,CL00152,Marketing,2985,disputed,2023-10-30,2023-12-03,1,30,false,High
PR000271,FL00117,CL00930,Video,4255,completed,2020-03-12,2020-05-18,41,12,False,Low
PR000272,FL00080,CL00985,Video,4635,completed,2023-02-17,2023-05-21,67,30,No,High
PR000273,FL00108,CL00650,Design,1351,completed,2020-11-26,2021-03-04,171,40,true,high
PR000274,FL00208,CL00399,Web Development,2865,completed,2022-01-31,2022-05-01,70,31,false,Low
PR000275,FL00162,CL00014,Design,2597,completed,2023-08-30,2023-11-16,147,30,Yes,Low
PR000276,FL00142,CL00960,SEO,2708,completed,2023-03-10,2023-03-26,85,1,False,medium
PR000277,FL00304,CL00062,Design,3793$,cancelled,2022-10-14,TBD,160,31,False,Medium
PR000278,FL00482,CL00663,Design,3622$,cancelled,2022-04-06,2022-06-11,155,11,Yes,high
PR000279,FL00236,CL00431,Marketing,4445,cancelled,2023-06-27,2023-09-02,30,40,0,High
PR000280,FL00489,CL00149,DevOps,4836,disputed,2021-11-16,2021-12-16,145,18,True,Low
PR000281,FL00496,CL00509,DevOps,2608,completed,2023-01-20,2023-04-22,89,2,0,
PR000282,FL00126,CL00396,Marketing,1907,in_progress,2021-02-11,2021-02-22,36,24,false,Low
PR000283,FL00304,CL00165,SEO,1568,completed,2021-12-17,2022-01-07,144,21,0,High
PR000284,FL00223,CL00727,Design,2806,completed,2021-08-21,2021-12-01,63,16,No,High
PR000285,FL00452,CL00674,Writing,2261,completed,2022-12-12,2023-03-26,56,42,1,Low
PR000286,FL00054,CL00118,Web Development,4777,in_progress,2020-09-21,2020-10-05,106,30,true,
PR000287,FL00006,CL00152,Web Development,4742,IN_PROGRESS,2021-09-15,2021-11-09,53,29,Yes,High
