review_id,project_id,reviewer_id,rating,review_text,review_date,helpful_votes,verified_purchase
RV000088,PR000394,CL00093,1,Missed the deadline significantly.,2024-01-22,24,0
RV000089,PR000233,CL00227,2,Not as described in the proposal.,2022-12-13,41,False
RV000090,PR000501,CL00978,4,"Great work, highly recommend!",2023-09-16,4,0
RV000091,PR000650,CL00059,2,Not as described in the proposal.,2024-10-17,9,True
RV000092,PR000574,CL00725,2,,2022-02-11,30,true
RV000093,PR000894,CL00976,5,Excellent communication throughout.,2021-03-26,4,false
RV000094,PR000536,CL00965,2,Communication was poor.,2023-04-28,15,0
RV000095,PR000653,CL00333,4,"Great work, highly recommend!",2022-01-09,48,1
RV000096,PR000020,CL00106,3,Had to redo parts of the work.,2024-01-14,41,False
RV000097,PR000596,CL00701,,Not as described in the proposal.,2023-12-18,2,1
RV000098,PR000658,CL00820,4,"Great work, highly recommend!",2020-09-18,44,0
RV000099,PR000570,CL00247,4,Excellent communication throughout.,2022-02-18,41,false
RV000100,PR000979,CL00160,9,Delivered on time and exceeded expectations.,2023-03-26,44,true
RV000101,,CL00934,2,Not as described in the proposal.,2023-01-27,36,true
RV000102,PR000735,CL00673,1,,2022-04-02,36,True
RV000103,PR000916,CL00407,4,Would hire again without hesitation.,2022-08-25,11,false
RV000104,,CL00707,3,Had to redo parts of the work.,2021-12-04,31,1
RV000105,PR001092,CL00207,1,Missed the deadline significantly.,2022-08-16,37,False
RV000106,PR000305,CL00084,2,Had to redo parts of the work.,2021-08-04,0,0
RV000107,PR001064,CL00706,4,Excellent communication throughout.,2021-02-08,17,false
RV000108,PR001013,CL00239,2,Quality was below expectations.,2022-03-09,6,true
RV000109,PR000025,CL00245,2,Communication was poor.,2020-08-11,29,0
RV000110,PR000294,CL00983,3,Missed the deadline significantly.,2023-08-05,36,0
RV000111,PR001122,CL00622,5,Delivered on time and exceeded expectations.,2024-11-26,29,false
RV000112,PR001067,CL00804,1,Quality was below expectations.,2022-10-13,20,0
RV000113,PR000151,CL00487,2,Missed the deadline significantly.,2020-09-12,16,1
RV000114,PR001076,CL00107,3,Quality was below expectations.,2024-05-28,10,1
RV000115,PR000511,CL00486,3,Not as described in the proposal.,2024-05-12,37,True
RV000116,PR000025,CL00982,3,Quality was below expectations.,2023-07-26,7,0
RV000117,,CL00830,1,Communication was poor.,2023-04-23,14,false
RV000118,PR000618,CL00792,5,Delivered on time and exceeded expectations.,2023-06-21,17,false
RV000119,PR000474,CL00457,1,Communication was poor.,2021-09-01,19,true
RV000120,PR000901,CL00239,1,Not as described in the proposal.,2020-07-02,13,1
RV000121,PR000255,CL00184,1,Not as described in the proposal.,2024-02-28,3,False
RV000122,PR001096,CL00783,4,Very professional and skilled.,2023-09-25,14,true
RV000123,PR000604,CL00457,2,Had to redo parts of the work.,2021-08-18,31,0
RV000124,PR000437,CL00808,2,Missed the deadline significantly.,2020-12-03,37,0
RV000125,PR000502,CL00059,1,Missed the deadline significantly.,2021-06-25,0,False
RV000126,PR000433,CL00901,6,,2023-06-08,23,True
RV000127,PR000198,CL00306,3,Communication was poor.,2022-12-07,15,true
RV000128,PR000870,CL00025,2,Had to redo parts of the work.,2023-08-23,28,True
RV000129,PR000923,CL00562,1,Missed the deadline significantly.,2023-11-25,20,0
RV000130,PR001101,CL00991,5,Outstanding quality and fast turnaround.,2024-08-22,20,0
RV000131,PR001104,CL00190,,"Great work, highly recommend!",2021-11-22,40,True
RV000132,PR000758,CL00288,,Missed the deadline significantly.,2022-10-08,25,true
RV000133,PR000498,CL00264,6,,2020-10-25,22,1
RV000134,PR000981,CL00279,6,Would hire again without hesitation.,2021-11-04,,true
RV000135,PR000600,CL00474,3,Communication was poor.,2022-06-05,34,true
RV000136,PR000833,CL00881,10,Excellent communication throughout.,2023-09-03,3,False
RV000137,PR000964,CL00115,1,Had to redo parts of the work.,2020-11-30,43,True
RV000138,,CL00247,3,Had to redo parts of the work.,2023-10-16,4,true
RV000139,PR000887,CL00994,4,Delivered on time and exceeded expectations.,2023-02-17,6,0
RV000140,PR000469,CL00598,2,Quality was below expectations.,2024-05-05,24,1
RV000141,PR000600,CL00780,5,Delivered on time and exceeded expectations.,2022-10-07,19,0
RV000142,PR000380,CL00815,1,Quality was below expectations.,2020-11-28,47,true
RV000143,PR000322,CL00589,4,Excellent communication throughout.,2024-08-11,36,True
RV000144,PR001177,CL00885,4,Delivered on time and exceeded expectations.,2022-04-27,50,0
RV000145,PR001148,CL00660,5,Very professional and skilled.,2023-03-10,40,false
RV000146,PR000522,CL00047,4,Delivered on time and exceeded expectations.,2021-07-27,36,1
RV000147,PR000868,CL00453,5,Very professional and skilled.,2023-08-15,25,0
RV000148,PR000247,CL00260,3,Not as described in the proposal.,2021-05-02,28,1
RV000149,PR000032,CL00459,3,Communication was poor.,2022-10-10,27,False
RV000150,PR000852,CL00489,3,Missed the deadline significantly.,2021-12-21,22,false
RV000151,,CL00088,3,Communication was poor.,2024-08-14,2,1
RV000152,PR001103,CL00646,3,Communication was poor.,2021-02-26,35,true
RV000153,PR000970,CL00347,4,"Great work, highly recommend!",2021-08-06,,1
RV000154,PR000442,CL00752,4,Outstanding quality and fast turnaround.,2021-04-25,9,1
RV000155,PR001040,CL00569,4,Delivered on time and exceeded expectations.,2020-10-02,41,false
RV000155,PR001040,CL00569,4,Delivered on time and exceeded expectations.,2020-10-02,41,false
RV000156,,CL00652,5,Outstanding quality and fast turnaround.,2023-06-12,16,0
RV000157,PR000585,CL00494,3,Missed the deadline significantly.,2020-09-03,14,false
RV000158,PR000525,CL00295,4,,2021-01-04,12,false
RV000159,PR000045,CL00622,4,,2024-12-01,4,1
RV000160,PR000127,CL00490,5,,2021-03-18,13,0
RV000161,PR001187,CL00238,7,Would hire again without hesitation.,2024-09-26,11,true
RV000162,PR000201,CL00592,1,Not as described in the proposal.,2024-04-27,41,1
RV000163,PR000862,CL00110,1,Not as described in the proposal.,2021-10-20,16,true
RV000164,PR000197,CL00847,2,Missed the deadline significantly.,2020-07-27,38,false
RV000165,PR001188,CL00298,2,Quality was below expectations.,2023-08-20,22,0
RV000166,PR000588,CL00249,5,Excellent communication throughout.,2023-03-23,40,True
RV000167,PR000020,CL00140,2,,2022-12-06,13,false
RV000168,PR000096,CL00435,3,Communication was poor.,2022-05-23,41,0
RV000169,PR001047,CL00572,4,Very professional and skilled.,2021-03-22,15,0
RV000170,PR000550,CL00540,1,Not as described in the proposal.,2024-11-28,16,1
RV000171,PR000171,CL00893,1,Had to redo parts of the work.,2022-11-25,50,False
RV000172,PR000577,CL00682,3,Communication was poor.,,4,True
RV000173,PR000210,CL00287,2,Had to redo parts of the work.,2023-10-02,11,false
RV000174,PR000205,CL00326,,Excellent communication throughout.,2021-08-29,4,True
RV000175,PR000663,CL00231,3,Quality was below expectations.,2022-08-20,,0
RV000176,PR000945,CL00462,2,Had to redo parts of the work.,2020-12-06,0,True
RV000177,PR000912,CL00493,2,Missed the deadline significantly.,2021-09-27,0,true
RV000178,PR000848,CL00942,5,Outstanding quality and fast turnaround.,2023-11-15,0,false
RV000179,PR001074,CL00949,3,Communication was poor.,2024-04-19,17,1
RV000180,PR000567,CL00729,1,Missed the deadline significantly.,2020-10-10,,true
RV000181,PR000144,CL00934,5,Outstanding quality and fast turnaround.,2022-04-03,9,1
RV000182,PR000562,CL00428,,Would hire again without hesitation.,2023-02-18,21,true
RV000183,PR000017,CL00886,2,,2021-06-03,16,0
RV000184,PR000225,CL00901,4,Very professional and skilled.,2022-04-23,6,true
RV000185,,CL00078,3,Communication was poor.,2023-07-15,,False
RV000186,PR001124,CL00752,3,Communication was poor.,2020-09-04,39,true
RV000187,PR000829,CL00717,1,,2023-05-22,7,0
RV000188,PR000851,CL00899,2,Missed the deadline significantly.,2022-09-20,16,0
RV000189,PR001035,CL00392,2,,2020-06-12,2,True
RV000190,PR000451,CL00955,5,Very professional and skilled.,2023-01-24,47,True
RV000191,,CL00816,1,,2022-03-23,29,True
RV000192,PR001100,CL00567,1,Communication was poor.,2022-12-07,27,0
RV000193,PR000990,CL00135,1,Quality was below expectations.,2022-11-05,11,False
RV000194,PR000241,CL00155,1,Quality was below expectations.,2023-12-23,39,False
RV000195,PR000950,CL00917,3,Quality was below expectations.,2024-10-25,2,1
RV000196,PR000587,CL00547,4,"Great work, highly recommend!",2023-09-24,49,false
RV000197,PR000125,CL00881,4,,2020-12-14,,True
RV000198,PR000345,CL00064,4,Excellent communication throughout.,2024-06-11,39,True
RV000199,PR000776,CL00587,4,Excellent communication throughout.,2024-05-15,25,0
RV000200,PR000112,CL00385,3,Quality was below expectations.,2021-10-12,39,true
RV000201,PR000737,CL00275,,Very professional and skilled.,2020-07-11,41,false
RV000202,PR001098,CL00053,3,Communication was poor.,2021-01-27,32,False
RV000203,,CL00441,1,Communication was poor.,2024-08-28,45,0
RV000204,PR001017,CL00870,4,Would hire again without hesitation.,2021-12-18,18,1
RV000205,PR000645,CL00016,2,Not as described in the proposal.,,29,true
RV000206,PR000386,CL00815,,Would hire again without hesitation.,2022-03-19,20,true
RV000207,,CL00290,5,Very professional and skilled.,2024-10-04,10,True
RV000208,PR000706,CL00144,2,Communication was poor.,2020-06-27,3,true
RV000209,PR000959,CL00689,4,"Great work, highly recommend!",2023-07-08,7,1
RV000210,PR000247,CL00368,3,Missed the deadline significantly.,2020-11-27,45,True
RV000211,PR000086,CL00595,3,Quality was below expectations.,2020-10-17,9,0
RV000212,PR000784,CL00524,5,"Great work, highly recommend!",2021-11-26,9,False
RV000213,PR000100,CL00422,1,Quality was below expectations.,2022-06-22,7,False
RV000214,PR000609,CL00834,2,Had to redo parts of the work.,2024-01-13,18,false
RV000215,PR000876,CL00923,2,Not as described in the proposal.,2020-11-20,17,false
RV000216,PR000241,CL00112,5,Delivered on time and exceeded expectations.,2023-09-09,6,1
RV000217,PR000981,CL00778,,Communication was poor.,2021-10-05,13,False
RV000218,PR001076,CL00396,,Missed the deadline significantly.,2020-12-30,45,false
RV000218,PR001076,CL00396,,Missed the deadline significantly.,2020-12-30,45,false
RV000219,PR000012,CL00560,8,Very professional and skilled.,2021-10-16,,false
RV000220,PR000797,CL00752,2,Had to redo parts of the work.,2023-01-07,,False
RV000221,PR000995,CL01000,1,Missed the deadline significantly.,2023-07-12,1,1
RV000222,PR000604,CL00371,1,Had to redo parts of the work.,2023-12-15,0,0
RV000223,PR000848,CL00703,4,"Great work, highly recommend!",2022-12-30,34,false
RV000223,PR000848,CL00703,4,"Great work, highly recommend!",2022-12-30,34,false
RV000224,PR000775,CL00930,4,Delivered on time and exceeded expectations.,2024-11-10,3,False
RV000225,PR001115,CL00024,4,Outstanding quality and fast turnaround.,2022-03-23,8,true
RV000226,PR000935,CL00043,4,Excellent communication throughout.,2020-06-18,0,true
RV000227,PR000530,CL00046,5,Excellent communication throughout.,2022-12-21,34,true
RV000228,PR000652,CL00397,4,"Great work, highly recommend!",2024-07-17,32,false
RV000229,PR000850,CL00592,3,Quality was below expectations.,2024-01-02,33,1
RV000229,PR000850,CL00592,3,Quality was below expectations.,2024-01-02,33,1
RV000230,PR000434,CL00723,2,Missed the deadline significantly.,2024-01-07,47,1
RV000231,PR000048,CL00328,1,Missed the deadline significantly.,2022-04-15,46,0
RV000232,PR000343,CL00398,1,Not as described in the proposal.,2023-02-04,46,False
RV000233,PR001018,CL00827,,Not as described in the proposal.,2022-12-08,27,1
RV000234,PR000029,CL00938,4,"Great work, highly recommend!",2023-05-03,28,false
RV000235,PR000995,CL00129,3,Communication was poor.,2022-10-24,21,false
RV000236,PR000358,CL00475,5,Very professional and skilled.,2023-10-27,,0
RV000236,PR000358,CL00475,5,Very professional and skilled.,2023-10-27,,0
RV000237,PR000644,CL00168,3,Quality was below expectations.,2020-12-31,42,False
RV000238,PR000277,CL00538,5,Outstanding quality and fast turnaround.,2024-02-25,27,0
RV000239,PR001154,CL00370,4,Outstanding quality and fast turnaround.,2020-11-25,35,False
RV000240,PR000163,CL00493,5,Outstanding quality and fast turnaround.,2021-04-26,3,False
RV000241,PR000845,CL00600,4,,2023-12-26,2,True
RV000241,PR000845,CL00600,4,,2023-12-26,2,True
RV000242,PR000218,CL00331,3,Quality was below expectations.,,6,1
RV000243,PR000820,CL00778,4,"Great work, highly recommend!",2024-06-29,20,0
RV000244,PR001127,CL00203,4,Delivered on time and exceeded expectations.,2024-04-06,26,true
RV000245,PR000819,CL00061,1,Had to redo parts of the work.,2020-09-02,4,false
RV000246,,CL00023,7,Very professional and skilled.,2022-06-03,50,true
RV000247,PR000628,CL00442,4,"Great work, highly recommend!",2022-04-25,12,false
RV000248,PR000540,CL00383,4,Delivered on time and exceeded expectations.,2020-07-01,35,false
RV000249,PR001149,CL00192,3,Communication was poor.,2023-07-30,10,1
RV000250,PR000338,CL00965,1,Quality was below expectations.,2020-12-20,8,false
RV000251,PR000572,CL00735,3,Communication was poor.,2021-09-09,29,false
RV000252,PR000579,CL00920,1,Communication was poor.,2022-01-26,48,true
RV000253,PR000985,CL00303,5,Very professional and skilled.,2021-08-07,50,True
RV000253,PR000985,CL00303,5,Very professional and skilled.,2021-08-07,50,True
RV000254,PR001173,CL00629,3,Quality was below expectations.,2022-01-19,40,True
RV000255,PR000260,CL00482,5,,2022-05-16,49,1
RV000256,PR000004,CL00582,3,Not as described in the proposal.,2023-01-18,14,true
RV000257,PR000718,CL00210,2,Had to redo parts of the work.,2024-09-26,32,false
RV000258,PR000444,CL00665,2,Had to redo parts of the work.,2023-09-24,50,true
RV000259,PR000043,CL00127,2,Missed the deadline significantly.,2024-04-16,11,0
RV000260,PR001047,CL00999,3,Had to redo parts of the work.,2021-11-20,,True
RV000261,PR000058,CL00739,,Delivered on time and exceeded expectations.,2022-06-30,13,false
RV000262,PR000523,CL00464,2,Had to redo parts of the work.,2021-02-22,3,false
RV000263,PR001052,CL00530,2,Quality was below expectations.,2022-11-21,41,1
RV000264,PR000400,CL00284,1,Not as described in the proposal.,2023-04-30,14,true
RV000265,PR001165,CL00761,2,Communication was poor.,2022-08-28,38,true
RV000266,PR000582,CL00981,5,Outstanding quality and fast turnaround.,2024-07-27,13,0
RV000267,PR000467,CL00507,2,Missed the deadline significantly.,2024-01-05,27,false
RV000268,,CL00045,1,Communication was poor.,2024-11-29,49,1
RV000269,PR000951,CL00129,1,Missed the deadline significantly.,2022-05-20,50,True
RV000270,PR000006,CL00393,2,Not as described in the proposal.,2023-03-13,36,0
RV000271,PR001020,CL00405,4,Very professional and skilled.,2024-10-04,5,true
RV000272,PR000533,CL00880,2,Had to redo parts of the work.,2023-06-09,46,0
RV000273,PR000549,CL00385,1,Not as described in the proposal.,2023-09-29,48,false
RV000274,,CL00589,5,Delivered on time and exceeded expectations.,2021-12-22,28,True
RV000275,PR000923,CL00541,2,Missed the deadline significantly.,2024-02-24,7,False
RV000276,PR000243,CL00445,2,Had to redo parts of the work.,2020-12-01,6,0
RV000277,PR000880,CL00413,1,Missed the deadline significantly.,2023-11-21,46,0
RV000278,PR000558,CL00402,1,Had to redo parts of the work.,2020-06-03,29,0
RV000279,PR000809,CL00603,4,Excellent communication throughout.,2021-06-30,3,false
RV000280,PR000044,CL00627,2,Had to redo parts of the work.,2021-10-08,11,0
RV000281,PR000048,CL00343,1,Had to redo parts of the work.,2022-07-09,,False
RV000282,PR000607,CL00727,5,Very professional and skilled.,2020-06-01,12,1
RV000283,PR000774,CL00863,1,Had to redo parts of the work.,2023-02-06,14,false
RV000284,PR001181,CL00861,1,Had to redo parts of the work.,2021-01-31,27,True
RV000285,PR000584,CL00397,1,Communication was poor.,2023-08-07,4,False
RV000286,PR001048,CL00555,5,Very professional and skilled.,2024-03-03,34,1
RV000287,PR000444,CL00759,5,Delivered on time and exceeded expectations.,2022-09-04,16,False
RV000288,PR000480,CL00067,6,Excellent communication throughout.,2023-08-12,,False
RV000289,PR000443,CL00068,2,Not as described in the proposal.,2024-06-28,,False
RV000290,PR000374,CL00658,4,"Great work, highly recommend!",2022-02-22,28,true
RV000291,PR000571,CL00222,2,Not as described in the proposal.,2024-02-20,15,1
RV000292,PR000457,CL00525,5,Very professional and skilled.,2020-10-07,,false
RV000293,PR000623,CL00062,3,Not as described in the proposal.,2021-12-29,6,False
RV000294,PR000319,CL00721,5,,2020-12-08,10,1
RV000295,PR000044,CL00433,4,Excellent communication throughout.,2024-03-20,5,0
RV000296,PR000797,CL00156,4,"Great work, highly recommend!",2024-09-02,,True
RV000297,PR001063,CL00695,,Had to redo parts of the work.,2023-07-11,43,0
RV000298,PR000992,CL00203,1,,2020-08-08,26,true
RV000299,PR000892,CL00312,2,Communication was poor.,2024-04-06,6,1
RV000300,PR000710,CL00078,2,,,25,true
RV000301,PR000275,CL00779,4,Would hire again without hesitation.,2024-08-18,43,1
RV000302,PR000739,CL00263,3,Quality was below expectations.,2021-07-12,0,true
RV000303,PR000695,CL00689,5,"Great work, highly recommend!",2021-12-19,34,true
RV000304,PR000509,CL00517,2,Quality was below expectations.,2023-01-20,20,true
RV000305,PR000452,CL00099,2,Had to redo parts of the work.,2021-10-28,27,false
RV000306,,CL00431,2,Communication was poor.,2022-07-06,46,true
RV000307,PR000350,CL00696,3,Quality was below expectations.,2020-08-25,22,0
RV000308,PR000388,CL00898,4,Excellent communication throughout.,2020-07-18,29,false
RV000308,PR000388,CL00898,4,Excellent communication throughout.,2020-07-18,29,false
RV000309,PR000124,CL00140,5,Outstanding quality and fast turnaround.,2021-02-28,26,true
RV000310,PR000131,CL00461,2,Quality was below expectations.,2021-03-05,49,true
RV000311,PR000909,CL00715,3,Had to redo parts of the work.,2024-08-29,31,false
RV000312,PR001101,CL00707,5,Would hire again without hesitation.,2020-08-03,37,True
RV000313,PR000308,CL00400,2,Communication was poor.,2024-02-10,48,false
RV000314,PR000591,CL00393,2,Missed the deadline significantly.,2023-12-05,42,true
RV000315,PR000526,CL00752,2,Missed the deadline significantly.,2023-09-18,35,false
RV000316,PR000886,CL00349,2,Not as described in the proposal.,2023-10-23,46,False
RV000317,PR000299,CL00314,5,Excellent communication throughout.,2024-07-06,50,True
RV000318,PR000391,CL00667,3,Quality was below expectations.,2022-07-12,2,false
RV000319,PR000151,CL00560,3,Missed the deadline significantly.,2021-05-11,35,1
RV000320,PR000064,CL00290,1,Quality was below expectations.,2020-06-08,1,false
RV000321,PR001040,CL00268,5,Very professional and skilled.,2024-02-17,7,False
RV000322,PR001013,CL00801,4,"Great work, highly recommend!",2021-08-10,4,1
RV000323,PR000624,CL00790,3,Had to redo parts of the work.,2024-05-01,49,0
RV000324,PR000362,CL00034,1,Had to redo parts of the work.,2023-07-14,10,0
RV000325,PR000468,CL00709,2,Quality was below expectations.,2022-08-01,43,False
RV000326,PR001081,CL00251,1,Communication was poor.,2022-02-22,35,True
RV000327,PR000342,CL00120,7,Very professional and skilled.,2020-07-20,25,1
RV000328,,CL00921,1,Quality was below expectations.,2020-08-27,4,0
RV000329,PR000400,CL00460,1,Not as described in the proposal.,2020-11-01,35,True
RV000330,PR000639,CL00085,8,Very professional and skilled.,,29,false
RV000331,,CL00754,5,Outstanding quality and fast turnaround.,2023-07-05,22,False
RV000332,PR000230,CL00998,2,Not as described in the proposal.,2022-10-11,7,True
RV000333,PR000744,CL00674,3,Had to redo parts of the work.,2020-12-23,37,False
RV000334,PR000001,CL00347,1,Had to redo parts of the work.,2023-12-29,15,False
RV000335,PR000462,CL00206,5,Excellent communication throughout.,2022-06-12,1,True
RV000336,PR000612,CL00370,,Had to redo parts of the work.,2024-03-28,41,false
RV000337,PR000037,CL00380,3,Communication was poor.,2024-09-21,47,False
RV000338,PR001029,CL00174,,Excellent communication throughout.,2020-07-14,33,1
RV000338,PR001029,CL00174,,Excellent communication throughout.,2020-07-14,33,1
RV000339,PR000033,CL00034,1,Not as described in the proposal.,2023-02-22,24,false
RV000340,PR000726,CL00401,3,Not as described in the proposal.,2022-08-31,18,0
RV000341,PR000884,CL00572,5,Delivered on time and exceeded expectations.,,0,1
RV000342,PR000165,CL00348,2,Communication was poor.,2022-07-26,18,0
RV000343,PR000961,CL00346,5,Excellent communication throughout.,2022-11-14,,1
RV000344,PR000102,CL00737,5,Delivered on time and exceeded expectations.,2020-07-08,27,true
RV000345,PR000920,CL00645,5,Would hire again without hesitation.,,33,true
RV000346,PR001069,CL00043,4,"Great work, highly recommend!",2024-02-22,7,false
RV000346,PR001069,CL00043,4,"Great work, highly recommend!",2024-02-22,7,false
RV000347,PR000356,CL00208,3,Communication was poor.,2022-03-24,28,False
RV000348,PR001180,CL00696,,Had to redo parts of the work.,2023-03-05,22,true
RV000349,PR001134,CL00774,2,Not as described in the proposal.,2023-11-09,,1
RV000350,PR001199,CL00140,3,Had to redo parts of the work.,2022-11-06,17,false
RV000351,PR000950,CL00921,,Communication was poor.,2022-07-24,43,true
