transaction_id,project_id,freelancer_id,amount,currency,payment_date,payment_method,platform_fee_pct,status,is_disputed
TX0000074,,FL00153,,inr,2023-07-18,PayPal,12.76,success,0
TX0000075,PR000819,,3559.0,BDT,2023-05-18,Stripe,11.98,failed,0
TX0000076,PR000964,FL00015,5444.0,USD,2024-04-16,PayPal,7.47,failed,1
TX0000077,PR000818,FL00256,409603.0,GBP,2020-12-11,PayPal,5.69,success,1
TX0000078,PR000017,FL00406,4441.0,USD,2024-03-15,Wise,13.35,success,1
TX0000079,PR000544,FL00397,3971.0,gbp,2024-07-05,Stripe,9.03,success,1
TX0000080,PR000509,FL00176,1295.0,USD,2023-08-12,Crypto,14.09,failed,0
TX0000081,PR000240,FL00147,6003.0,GBP,2023-10-23,Wise,12.42,failed,1
TX0000082,PR000660,FL00193,1448.0,PKR,2022-12-31,PayPal,19.01,success,1
TX0000083,PR000994,FL00098,3800.0,USD,2020-07-30,Wise,19.04,success,0
TX0000084,PR000177,FL00339,6150.0,INR,2024-08-11,Crypto,9.03,success,0
TX0000085,PR001199,FL00301,5386.0,GBP,2020-01-08,Crypto,15.8,pending,1
TX0000086,PR000873,FL00097,4184.0,BDT,2022-09-06,Stripe,14.82,success,0
TX0000087,PR000796,FL00116,6093.0,EUR,2022-01-23,Bank Transfer,10.16,success,1
TX0000088,PR001158,FL00062,6396.0,INR,2022-09-20,Bank Transfer,19.38,failed,0
TX0000089,PR001136,FL00391,6910.0,EUR,2020-08-11,Bank Transfer,13.36,success,0
TX0000090,PR000509,FL00335,4351.0,GBP,2023-08-16,Crypto,18.94,success,1
TX0000091,PR000939,FL00155,1059.0,,,,6.25,refunded,0
TX0000092,PR000665,FL00498,5253.0,PKR,2021-03-30,Stripe,,success,0
TX0000093,PR001035,FL00156,5780.0,INR,2024-02-10,Crypto,20.03,success,0
TX0000094,PR001053,,1075.0,USD,2023-11-04,Crypto,20.59,success,0
TX0000095,PR000397,FL00102,-1114.0,USD,2021-07-24,Wise,11.86,pending,0
TX0000096,PR000544,FL00490,7355.0,GBP,,PayPal,14.35,failed,0
TX0000097,PR000764,FL00007,7291.0,PKR,2024-05-12,Crypto,13.09,refunded,0
TX0000098,PR000365,FL00478,-3749.0,USD,2020-05-18,Stripe,19.83,refunded,1
TX0000099,PR000594,FL00169,7088.0,USD,2022-08-14,PAYONEER,17.29,success,1
TX0000100,PR000930,FL00020,893.0,INR,2023-10-13,Crypto,18.73,success,1
TX0000101,PR000551,FL00066,666.0,USD,2022-02-11,Stripe,17.72,success,0
TX0000102,PR000642,FL00337,2235.0,USD,2021-11-19,Bank Transfer,13.45,success,1
TX0000103,PR000018,FL00352,7563.0,INR,2021-03-17,Bank Transfer,18.0,refunded,1
TX0000104,PR000593,FL00397,6720.0,PKR,,Wise,17.86,refunded,0
TX0000105,PR000916,FL00429,1690.0,USD,2024-08-13,Crypto,7.55,pending,1
TX0000106,PR000952,FL00317,5438.0,USD,2021-06-27,Crypto,12.89,failed,0
TX0000107,PR000101,FL00260,-7758.0,USD,2022-12-18,PayPal,7.37,failed,0
TX0000108,PR000247,FL00499,-583.0,GBP,2023-01-20,Bank Transfer,8.88,success,1
TX0000109,PR001006,FL00208,,GBP,2022-06-02,PayPal,19.66,success,0
TX0000110,,FL00476,621.0,bdt,2024-12-02,Bank Transfer,15.7,pending,0
TX0000111,PR001003,FL00063,3959.0,USD,2022-05-28,Payoneer,16.27,failed,0
TX0000112,PR001094,FL00463,304.0,EUR,2022-10-10,Stripe,,success,0
TX0000113,PR000256,FL00386,7533.0,BDT,2020-02-26,Wise,16.98,success,0
TX0000114,PR001022,FL00418,7539.0,INR,2021-09-18,Payoneer,11.34,success,0
TX0000115,PR000993,FL00369,2226.0,USD,2023-12-28,WISE,10.71,success,1
TX0000116,PR001045,FL00330,4689.0,GBP,2024-08-12,Stripe,9.8,failed,1
TX0000117,PR000378,FL00012,3622.0,,2023-06-01,,,pending,1
TX0000118,PR001013,FL00205,-2245.0,usd,2023-02-19,Stripe,10.85,success,1
TX0000119,PR000820,FL00347,598.0,INR,2022-09-29,PayPal,,failed,1
TX0000120,PR001079,FL00448,5078.0,USD,2020-11-23,Crypto,11.01,success,1
TX0000121,PR000754,FL00195,717.0,PKR,2023-01-28,Crypto,11.92,success,0
TX0000122,PR000500,FL00344,6158.0,,2021-10-30,Wise,17.7,failed,0
TX0000123,PR000592,FL00242,762.0,USD,2023-04-30,Crypto,16.48,success,1
TX0000124,PR001114,FL00384,6270.0,,2023-03-11,Payoneer,6.79,refunded,0
TX0000125,PR000429,,7642.0,PKR,2022-06-08,Payoneer,7.66,failed,0
TX0000126,PR000438,FL00385,428.0,USD,2020-09-23,Wise,5.85,pending,0
TX0000127,PR000362,,4533.0,EUR,2021-12-23,Payoneer,12.73,success,0
TX0000128,,,456.0,INR,2023-01-06,Wise,,failed,0
TX0000129,PR000860,FL00247,2300.0,GBP,2020-05-10,Bank Transfer,6.07,failed,1
TX0000130,PR000217,FL00186,2202.0,USD,2021-05-12,Wise,18.91,success,0
TX0000131,PR000493,FL00184,451458.0,USD,2023-12-10,,16.88,failed,0
TX0000132,PR000414,FL00425,5754.0,PKR,2021-04-22,Stripe,17.24,success,0
TX0000133,PR001192,FL00396,1474.0,EUR,2020-03-17,Payoneer,20.87,refunded,1
TX0000134,PR001125,FL00239,591.0,PKR,2023-09-02,Crypto,10.26,success,0
TX0000135,PR000072,FL00480,3677.0,GBP,2020-12-31,Wise,18.82,success,1
TX0000136,PR000454,FL00212,4410.0,,2024-09-23,Payoneer,5.06,success,0
TX0000137,PR001139,FL00476,958.0,PKR,2020-04-02,,10.03,success,1
TX0000138,PR000843,FL00013,4748.0,USD,2022-12-16,Crypto,12.15,success,1
TX0000139,PR000107,FL00462,1302.0,USD,2023-01-16,Wise,17.04,pending,1
TX0000140,PR001049,FL00258,2103.0,PKR,2023-06-01,PayPal,,pending,0
TX0000141,PR000034,FL00429,1441.0,PKR,2024-01-18,Crypto,11.7,success,0
TX0000142,,FL00137,6168.0,GBP,2024-03-22,CRYPTO,15.96,success,1
TX0000143,PR000299,FL00135,6282.0,USD,2022-07-09,Crypto,15.27,success,0
TX0000144,,FL00196,639.0,INR,2021-01-08,Stripe,13.62,success,1
TX0000145,PR000729,FL00399,1242.0,USD,,Stripe,8.25,pending,0
TX0000146,PR000786,FL00117,5489.0,,2021-08-17,Wise,19.56,failed,0
TX0000147,PR000737,FL00053,6095.0,USD,2024-09-24,Bank Transfer,6.05,success,0
TX0000148,PR000025,FL00431,550.0,,2023-03-07,Stripe,20.51,success,1
TX0000149,PR000954,FL00258,1365.0,GBP,2020-04-23,PayPal,,failed,0
TX0000150,PR000183,FL00163,1351.0,USD,2023-12-24,Wise,20.33,pending,0
TX0000151,PR000440,FL00093,1283.0,PKR,,,14.22,success,1
TX0000152,PR000889,FL00329,,PKR,2022-07-29,Wise,6.5,success,1
TX0000153,PR000359,FL00105,2916.0,USD,2021-12-30,PayPal,8.36,failed,1
TX0000154,PR000494,FL00291,-4762.0,EUR,2022-08-08,Crypto,20.39,success,0
TX0000155,PR000210,FL00217,4598.0,USD,2024-07-13,Wise,11.7,pending,0
TX0000156,PR000312,FL00304,2553.0,USD,2021-11-17,WISE,17.78,refunded,0
TX0000157,PR000880,,826.0,GBP,2021-08-31,Payoneer,10.52,success,0
TX0000158,PR000475,FL00102,5118.0,INR,2024-08-06,Stripe,,success,1
TX0000159,PR000232,FL00402,4998.0,EUR,2020-05-12,Wise,19.27,success,0
TX0000160,PR000380,FL00477,3413.0,BDT,2024-05-03,Wise,,success,0
TX0000161,PR000540,,5737.0,PKR,2020-01-02,Crypto,17.12,refunded,1
TX0000162,PR000086,FL00475,,,2024-10-29,Wise,6.98,failed,1
TX0000163,PR000508,FL00321,1735.0,USD,2024-04-09,Crypto,,success,0
TX0000164,PR001138,FL00360,5124.0,USD,2024-04-07,Bank Transfer,15.65,pending,1
TX0000165,PR000677,FL00091,2231.0,INR,2023-09-25,PayPal,13.77,failed,0
TX0000166,PR000453,FL00008,6923.0,USD,2021-09-22,WISE,17.51,pending,1
TX0000167,PR001123,FL00374,1936.0,GBP,2023-04-28,Payoneer,9.11,success,0
TX0000168,PR000105,FL00196,1230.0,bdt,,Crypto,5.16,success,1
TX0000169,PR000280,FL00181,5786.0,eur,2024-05-06,Crypto,13.67,refunded,0
TX0000170,PR000813,FL00004,2663.0,EUR,2021-01-02,Wise,15.83,success,0
TX0000171,PR000400,FL00144,,PKR,2023-03-19,PayPal,5.72,success,0
TX0000172,PR000986,FL00164,3451.0,BDT,2022-02-26,,13.47,failed,0
TX0000173,PR000024,FL00178,6766.0,INR,2021-08-06,PayPal,15.92,refunded,1
TX0000174,PR000809,FL00423,2027.0,PKR,2024-03-04,,,pending,1
TX0000175,PR001060,FL00106,1823.0,GBP,2022-04-19,Crypto,20.77,pending,1
TX0000176,PR000298,FL00240,4279.0,USD,2024-03-17,PayPal,10.61,success,1
TX0000177,PR000759,FL00089,6764.0,PKR,2024-02-15,Bank Transfer,14.51,pending,1
TX0000178,PR000152,FL00101,6604.0,GBP,2024-08-01,Crypto,10.45,pending,0
TX0000179,PR000063,FL00151,6484.0,USD,2020-12-13,Crypto,9.12,pending,1
TX0000180,PR000745,FL00320,1900.0,GBP,2024-06-18,Stripe,,success,1
TX0000181,PR000911,FL00478,3879.0,,2023-03-10,Payoneer,7.52,success,1
TX0000182,PR001193,FL00269,4763.0,GBP,2023-11-16,Payoneer,6.58,success,0
TX0000183,PR000480,FL00322,825.0,INR,2020-09-10,BANK TRANSFER,7.45,success,1
TX0000184,PR000750,FL00397,,INR,2023-12-26,Payoneer,6.09,success,0
TX0000185,PR001092,FL00186,5554.0,USD,2023-03-30,PayPal,17.11,refunded,0
TX0000186,PR001186,FL00421,4684.0,USD,2022-03-12,Crypto,13.63,success,1
TX0000187,PR000595,FL00170,2582.0,USD,2021-08-07,Wise,13.02,refunded,1
TX0000188,PR000093,FL00072,6832.0,,2024-08-27,Crypto,13.48,success,1
TX0000189,PR000206,FL00165,,EUR,2022-04-15,Wise,20.43,success,1
TX0000190,PR000633,FL00133,3278.0,USD,2024-09-27,Wise,13.86,success,1
TX0000191,PR001057,FL00317,4781.0,PKR,2022-05-18,Stripe,13.06,success,0
TX0000192,PR000080,FL00016,7158.0,INR,2024-03-27,Wise,20.39,refunded,0
TX0000193,PR001007,FL00202,5039.0,PKR,2024-01-28,Crypto,14.49,success,1
TX0000194,PR000614,FL00387,7216.0,EUR,2021-09-11,Wise,13.96,success,0
TX0000195,PR000530,FL00257,2799.0,BDT,2020-12-05,,16.98,pending,0
TX0000196,PR000937,FL00003,7364.0,USD,2022-05-28,Crypto,7.69,success,0
TX0000197,PR000693,FL00497,6135.0,INR,2024-10-19,PAYPAL,20.86,success,0
TX0000198,PR000138,FL00107,6478.0,INR,2020-05-09,Payoneer,8.04,success,1
TX0000199,PR001118,FL00415,669.0,usd,2023-06-14,Crypto,8.72,success,1
TX0000200,PR000991,FL00051,,USD,2020-08-07,PayPal,,failed,1
TX0000201,PR000673,FL00161,5131.0,USD,2024-02-04,Payoneer,10.41,success,1
TX0000202,PR000299,FL00456,3980.0,INR,2021-05-18,Payoneer,17.6,success,1
TX0000203,PR000243,FL00231,3109.0,EUR,,Stripe,15.06,success,1
TX0000204,PR000900,FL00399,103.0,BDT,2021-01-31,PayPal,8.71,success,0
TX0000205,PR000952,FL00182,-2093.0,USD,2020-01-21,PAYONEER,9.77,success,1
TX0000206,PR000898,FL00408,7947.0,PKR,2020-06-19,Crypto,16.8,success,0
TX0000207,PR000611,FL00270,1218.0,USD,2024-10-22,Crypto,8.78,success,1
TX0000208,PR000293,FL00159,5478.0,INR,2024-11-09,Bank Transfer,6.39,success,0
TX0000209,PR000292,FL00408,6779.0,USD,2020-03-29,Bank Transfer,7.4,success,1
TX0000210,PR000824,FL00318,6663.0,USD,2020-05-03,Payoneer,7.17,success,1
TX0000211,PR001105,FL00455,6489.0,USD,2021-04-29,Crypto,5.7,success,0
TX0000212,PR000216,FL00112,7591.0,USD,2021-03-16,PAYONEER,9.86,success,0
TX0000213,,FL00176,4910.0,PKR,2020-09-01,PayPal,14.57,success,1
TX0000214,PR000712,FL00032,6725.0,PKR,2022-10-21,PayPal,16.17,pending,0
TX0000215,PR000957,FL00065,2636.0,INR,2024-08-05,Bank Transfer,10.17,refunded,0
TX0000216,PR000593,FL00210,4938.0,INR,2024-01-13,Bank Transfer,16.81,refunded,1
TX0000217,PR000099,FL00080,-6485.0,BDT,2020-11-20,Crypto,15.62,failed,0
TX0000218,PR000109,FL00292,7112.0,,2020-08-23,PayPal,7.24,success,0
TX0000219,PR001103,FL00283,2495.0,PKR,2022-05-03,Crypto,7.18,success,0
TX0000220,PR000030,FL00131,7523.0,PKR,2020-03-07,Bank Transfer,17.75,success,1
TX0000221,PR000136,,3410.0,USD,2022-01-07,Stripe,19.1,refunded,1
TX0000222,PR000568,FL00477,6275.0,PKR,2021-04-13,Crypto,20.57,refunded,1
TX0000223,PR001012,FL00490,2721.0,INR,2021-07-05,,10.1,refunded,1
TX0000224,PR000031,FL00489,242.0,BDT,2023-12-31,Wise,6.2,success,0
TX0000225,PR000482,FL00248,5301.0,,2024-05-08,Stripe,19.07,success,1
TX0000226,PR000126,FL00095,272.0,PKR,2023-03-07,PayPal,19.98,failed,0
TX0000227,PR000014,FL00095,4382.0,USD,2022-08-30,PayPal,7.06,success,0
TX0000228,PR000595,FL00033,5468.0,PKR,2024-06-21,Stripe,19.61,success,1
TX0000229,PR000616,FL00473,7507.0,PKR,2023-05-05,PayPal,18.66,failed,0
TX0000230,PR000914,FL00211,5091.0,USD,2020-04-14,Payoneer,,pending,0
TX0000231,PR000088,FL00108,2548.0,EUR,2020-05-23,PAYPAL,20.51,success,0
TX0000232,,FL00385,2887.0,GBP,2021-04-18,Stripe,12.65,success,1
TX0000233,PR000924,FL00042,1674.0,GBP,2021-05-30,Payoneer,20.23,success,1
TX0000234,PR000590,FL00291,5556.0,USD,2022-07-05,Wise,12.26,pending,0
TX0000235,PR000699,FL00055,6903.0,USD,2020-02-20,Bank Transfer,6.07,pending,0
TX0000236,PR000318,FL00420,6187.0,INR,2023-07-01,Stripe,12.89,success,0
TX0000237,PR000159,FL00357,6810.0,USD,2021-10-04,Wise,12.82,pending,0
TX0000238,PR000792,FL00434,1281.0,GBP,2023-01-24,Crypto,16.09,pending,1
TX0000239,PR000078,FL00314,4266.0,BDT,,PayPal,18.1,success,1
TX0000240,PR001063,,739271.0,PKR,2020-08-03,CRYPTO,16.45,success,0
TX0000241,PR000635,FL00331,7034.0,INR,2023-04-29,Crypto,15.21,success,1
TX0000242,PR000535,FL00126,5280.0,GBP,2020-12-31,Payoneer,7.04,refunded,0
TX0000243,PR000048,FL00278,386044.0,USD,2024-04-30,PayPal,12.34,refunded,0
TX0000244,PR000573,FL00212,5739.0,USD,2022-11-07,Bank Transfer,20.54,success,0
TX0000245,PR000433,FL00029,2880.0,BDT,2024-04-28,Payoneer,18.1,refunded,1
TX0000246,PR000070,FL00045,4423.0,INR,2024-05-14,Wise,12.7,pending,0
TX0000247,PR001172,FL00222,3019.0,INR,2020-10-10,Wise,,pending,0
TX0000248,PR000690,FL00486,653408.0,BDT,2023-11-01,Stripe,10.87,success,1
TX0000249,PR000501,FL00261,7117.0,USD,2021-02-04,Bank Transfer,18.71,success,1
TX0000250,PR000384,FL00158,6062.0,BDT,2021-01-17,Payoneer,6.51,refunded,0
TX0000251,PR000455,FL00442,345.0,EUR,2022-12-18,Bank Transfer,8.95,success,0
TX0000252,PR000933,FL00122,3645.0,USD,2022-07-19,Stripe,20.24,success,1
TX0000253,PR000976,FL00385,,USD,2023-11-19,PayPal,10.33,success,1
TX0000254,PR000304,FL00144,7628.0,INR,2023-09-05,Wise,12.96,success,0
TX0000255,PR000270,FL00083,3698.0,USD,2021-02-06,,13.36,success,0
TX0000256,PR000379,FL00421,7933.0,USD,2022-10-21,PayPal,13.29,failed,0
TX0000257,PR000299,FL00327,1282.0,INR,2023-03-15,Crypto,20.43,refunded,1
TX0000258,PR001184,FL00129,7957.0,USD,2020-01-07,Crypto,17.56,pending,0
TX0000259,PR000541,FL00382,7454.0,PKR,2023-10-11,Bank Transfer,10.66,refunded,0
TX0000260,PR000573,FL00410,701.0,EUR,2024-02-04,PayPal,14.99,pending,1
TX0000261,PR000611,FL00085,5586.0,INR,2021-04-01,Payoneer,,success,0
TX0000262,PR000675,FL00035,6102.0,bdt,2022-02-09,Crypto,19.42,success,0
TX0000263,PR000571,FL00284,294.0,PKR,2024-04-29,Crypto,5.73,success,1
TX0000264,PR000269,FL00399,2253.0,BDT,2022-10-29,Bank Transfer,12.74,pending,1
TX0000265,PR000278,FL00018,329.0,USD,2021-08-13,Stripe,10.97,success,0
TX0000266,PR001064,FL00466,6667.0,BDT,2022-04-21,PayPal,11.74,pending,1
TX0000267,PR000170,FL00273,5172.0,USD,2023-06-27,Bank Transfer,,pending,0
TX0000268,PR000104,FL00228,4512.0,USD,2021-10-13,Bank Transfer,14.61,failed,1
TX0000269,,,3418.0,GBP,2023-01-14,Bank Transfer,5.28,refunded,1
TX0000270,PR000761,FL00256,957.0,PKR,2020-09-21,PayPal,18.69,refunded,0
TX0000271,PR000001,FL00070,2616.0,USD,2023-11-05,PayPal,20.04,success,0
TX0000272,PR000766,FL00289,3654.0,PKR,,Bank Transfer,13.98,success,1
TX0000273,PR000535,FL00020,6160.0,INR,2023-10-01,PayPal,14.56,refunded,0
TX0000274,PR000930,FL00318,5779.0,USD,2020-06-19,Payoneer,18.43,refunded,1
TX0000275,PR001051,FL00278,7955.0,BDT,2022-02-21,Crypto,18.22,success,1
TX0000276,PR001045,FL00389,1467.0,INR,2021-06-28,PayPal,10.66,success,0
TX0000277,PR000323,FL00231,2720.0,GBP,2020-01-18,,15.53,success,1
TX0000278,PR000976,FL00313,5337.0,USD,2022-02-27,Wise,9.89,success,0
TX0000279,PR000645,FL00445,1750.0,USD,2020-11-02,PayPal,17.32,refunded,1
TX0000280,PR000976,FL00473,5950.0,USD,2020-01-24,Stripe,14.8,failed,1
TX0000281,PR000045,FL00085,,usd,2024-06-19,Payoneer,6.59,pending,0
TX0000282,PR000116,FL00325,60.0,GBP,2021-02-07,Crypto,7.68,pending,0
TX0000283,PR000293,FL00240,7841.0,EUR,2024-06-20,PayPal,16.63,pending,1
TX0000284,PR000155,FL00377,4556.0,INR,2021-12-01,,10.7,pending,0
TX0000285,PR000111,FL00369,5894.0,BDT,2021-07-25,PayPal,5.86,success,0
TX0000286,PR000171,FL00244,7858.0,BDT,2022-09-20,Stripe,9.54,success,0
TX0000287,PR000697,FL00005,5178.0,USD,2021-03-03,Bank Transfer,11.96,pending,1
TX0000288,PR000405,FL00003,2848.0,INR,2021-01-16,Stripe,7.96,success,0
TX0000289,PR000687,FL00022,7940.0,BDT,2024-05-30,Stripe,15.05,success,0
TX0000290,PR001121,,871.0,EUR,2020-09-20,PayPal,10.4,failed,0
TX0000291,PR001029,FL00031,4994.0,gbp,,Bank Transfer,12.44,refunded,1
TX0000292,PR001034,FL00473,2266.0,PKR,2020-01-05,PayPal,10.06,success,1
TX0000293,PR000112,FL00405,4781.0,BDT,,PayPal,18.49,success,0
TX0000294,PR000151,FL00030,2059.0,EUR,2021-12-26,Wise,13.61,pending,0
TX0000295,PR000787,FL00406,1553.0,USD,2021-07-04,Crypto,19.98,pending,0
TX0000296,PR000496,FL00333,496599.0,USD,2022-08-19,,8.42,success,0
TX0000297,PR000297,FL00397,7379.0,usd,2021-07-25,Payoneer,6.84,refunded,1
TX0000298,PR000300,FL00393,5876.0,USD,2023-10-06,Crypto,5.04,success,1
TX0000299,PR001041,FL00411,1085.0,BDT,2023-05-25,Wise,18.82,success,1
TX0000300,PR000954,FL00141,7233.0,GBP,2020-01-28,Wise,7.4,failed,0
TX0000301,PR000452,FL00477,4763.0,USD,2022-08-01,Bank Transfer,9.98,failed,1
TX0000302,PR000545,FL00402,6591.0,EUR,2024-12-13,Wise,13.81,refunded,0
TX0000303,PR000939,FL00130,6543.0,USD,2020-09-05,Wise,11.65,pending,1
TX0000304,PR000168,FL00499,5401.0,BDT,2024-12-25,Wise,8.37,success,1
TX0000305,PR000535,FL00387,7718.0,GBP,2020-10-08,Wise,12.86,success,1
TX0000306,PR000457,FL00462,5873.0,BDT,2023-11-21,Crypto,12.87,failed,1
TX0000307,PR001120,FL00192,7937.0,GBP,2021-06-16,Stripe,,success,0
TX0000308,PR000153,FL00178,6752.0,GBP,2023-03-05,Wise,18.56,success,0
TX0000309,PR000581,FL00484,3177.0,INR,2023-03-13,Payoneer,15.38,success,0
TX0000310,PR000577,FL00110,4227.0,BDT,2023-11-06,Crypto,16.68,failed,1
TX0000311,PR000209,,1169.0,BDT,2020-08-16,Stripe,7.73,refunded,1
TX0000312,,FL00222,2653.0,USD,,Wise,8.4,pending,0
TX0000313,PR000476,FL00308,7436.0,GBP,2023-06-10,Crypto,12.15,refunded,1
TX0000314,PR001010,FL00175,2646.0,BDT,2021-12-13,Wise,15.14,success,0
